"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2019-02-26 23:50:40.756042","192.168.1.4","104.25.219.21","TLSv1.2","539","Application Data"
"2","2019-02-26 23:50:40.986618","104.25.219.21","192.168.1.4","TCP","54","443  >  55054 [ACK] Seq=1 Ack=486 Win=32 Len=0"
"3","2019-02-26 23:50:41.185282","192.168.1.4","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"4","2019-02-26 23:50:41.932857","104.25.219.21","192.168.1.4","TLSv1.2","1452","Application Data"
"5","2019-02-26 23:50:41.933001","192.168.1.4","104.25.219.21","TCP","54","55054  >  443 [ACK] Seq=486 Ack=1399 Win=1018 Len=0"
"6","2019-02-26 23:50:41.933438","104.25.219.21","192.168.1.4","TLSv1.2","1452","Application Data"
"7","2019-02-26 23:50:41.933519","192.168.1.4","104.25.219.21","TCP","54","55054  >  443 [ACK] Seq=486 Ack=2797 Win=1024 Len=0"
"8","2019-02-26 23:50:41.934449","104.25.219.21","192.168.1.4","TLSv1.2","701","Application Data"
"9","2019-02-26 23:50:41.934452","104.25.219.21","192.168.1.4","TLSv1.2","98","Application Data"
"10","2019-02-26 23:50:41.934552","192.168.1.4","104.25.219.21","TCP","54","55054  >  443 [ACK] Seq=486 Ack=3488 Win=1021 Len=0"
"11","2019-02-26 23:50:41.935076","104.25.219.21","192.168.1.4","TLSv1.2","88","Application Data"
"12","2019-02-26 23:50:41.935145","192.168.1.4","104.25.219.21","TCP","54","55054  >  443 [ACK] Seq=486 Ack=3522 Win=1021 Len=0"
"13","2019-02-26 23:50:42.185828","192.168.1.4","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"14","2019-02-26 23:50:42.602783","192.168.1.4","104.25.219.21","TLSv1.2","598","Application Data"
"15","2019-02-26 23:50:42.835657","104.25.219.21","192.168.1.4","TCP","54","443  >  55054 [ACK] Seq=3522 Ack=1030 Win=33 Len=0"
"16","2019-02-26 23:50:42.838936","192.168.1.4","104.25.219.21","TCP","54","55054  >  443 [RST, ACK] Seq=1030 Ack=3522 Win=0 Len=0"
"17","2019-02-26 23:50:42.844643","104.25.219.21","192.168.1.4","TLSv1.2","1452","Application Data"
"18","2019-02-26 23:50:42.844647","104.25.219.21","192.168.1.4","TLSv1.2","394","Application Data"
"19","2019-02-26 23:50:42.844649","104.25.219.21","192.168.1.4","TLSv1.2","88","Application Data"
"20","2019-02-26 23:50:46.182022","192.168.1.4","224.0.0.252","IGMPv2","46","Membership Report group 224.0.0.252"
"21","2019-02-26 23:50:46.677465","192.168.1.4","239.255.255.250","IGMPv2","46","Membership Report group 239.255.255.250"
"22","2019-02-26 23:50:49.212598","192.168.1.4","172.217.160.164","UDP","356","57815  >  443 Len=314"
"23","2019-02-26 23:50:49.291794","172.217.160.164","192.168.1.4","UDP","63","443  >  57815 Len=21"
"24","2019-02-26 23:50:49.336701","172.217.160.164","192.168.1.4","UDP","204","443  >  57815 Len=162"
"25","2019-02-26 23:50:49.338027","172.217.160.164","192.168.1.4","UDP","62","443  >  57815 Len=20"
"26","2019-02-26 23:50:49.338712","172.217.160.164","192.168.1.4","UDP","115","443  >  57815 Len=73"
"27","2019-02-26 23:50:49.345818","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"28","2019-02-26 23:50:49.373484","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"29","2019-02-26 23:50:50.954405","192.168.1.4","172.217.160.164","UDP","226","57815  >  443 Len=184"
"30","2019-02-26 23:50:50.988080","192.168.1.4","172.217.160.164","UDP","190","57815  >  443 Len=148"
"31","2019-02-26 23:50:51.033979","172.217.160.164","192.168.1.4","UDP","63","443  >  57815 Len=21"
"32","2019-02-26 23:50:51.066659","172.217.160.164","192.168.1.4","UDP","63","443  >  57815 Len=21"
"33","2019-02-26 23:50:51.083925","172.217.160.164","192.168.1.4","UDP","383","443  >  57815 Len=341"
"34","2019-02-26 23:50:51.085218","172.217.160.164","192.168.1.4","UDP","62","443  >  57815 Len=20"
"35","2019-02-26 23:50:51.085220","172.217.160.164","192.168.1.4","UDP","86","443  >  57815 Len=44"
"36","2019-02-26 23:50:51.085533","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"37","2019-02-26 23:50:51.096380","192.168.1.4","172.217.160.164","UDP","233","57815  >  443 Len=191"
"38","2019-02-26 23:50:51.104115","172.217.160.164","192.168.1.4","UDP","145","443  >  57815 Len=103"
"39","2019-02-26 23:50:51.104118","172.217.160.164","192.168.1.4","UDP","59","443  >  57815 Len=17"
"40","2019-02-26 23:50:51.104912","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"41","2019-02-26 23:50:51.175284","172.217.160.164","192.168.1.4","UDP","63","443  >  57815 Len=21"
"42","2019-02-26 23:50:51.225384","192.168.1.4","172.217.160.164","UDP","81","57815  >  443 Len=39"
"43","2019-02-26 23:50:51.232784","192.168.1.4","172.217.160.164","UDP","243","57815  >  443 Len=201"
"44","2019-02-26 23:50:51.234919","172.217.160.164","192.168.1.4","UDP","392","443  >  57815 Len=350"
"45","2019-02-26 23:50:51.237512","172.217.160.164","192.168.1.4","UDP","62","443  >  57815 Len=20"
"46","2019-02-26 23:50:51.237514","172.217.160.164","192.168.1.4","UDP","152","443  >  57815 Len=110"
"47","2019-02-26 23:50:51.237783","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"48","2019-02-26 23:50:51.263785","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"49","2019-02-26 23:50:51.286330","172.217.160.164","192.168.1.4","UDP","63","443  >  57815 Len=21"
"50","2019-02-26 23:50:51.290942","192.168.1.4","172.217.160.164","UDP","81","57815  >  443 Len=39"
"51","2019-02-26 23:50:51.332718","192.168.1.4","172.217.160.164","UDP","228","57815  >  443 Len=186"
"52","2019-02-26 23:50:51.342403","172.217.160.164","192.168.1.4","UDP","80","443  >  57815 Len=38"
"53","2019-02-26 23:50:51.368626","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"54","2019-02-26 23:50:51.410853","172.217.160.164","192.168.1.4","UDP","63","443  >  57815 Len=21"
"55","2019-02-26 23:50:51.422462","192.168.1.4","172.217.160.164","UDP","81","57815  >  443 Len=39"
"56","2019-02-26 23:50:51.440477","192.168.1.4","172.217.160.164","UDP","230","57815  >  443 Len=188"
"57","2019-02-26 23:50:51.459125","172.217.160.164","192.168.1.4","UDP","374","443  >  57815 Len=332"
"58","2019-02-26 23:50:51.460612","172.217.160.164","192.168.1.4","UDP","62","443  >  57815 Len=20"
"59","2019-02-26 23:50:51.460615","172.217.160.164","192.168.1.4","UDP","183","443  >  57815 Len=141"
"60","2019-02-26 23:50:51.460965","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"61","2019-02-26 23:50:51.487334","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"62","2019-02-26 23:50:51.494245","172.217.160.164","192.168.1.4","UDP","63","443  >  57815 Len=21"
"63","2019-02-26 23:50:51.532689","192.168.1.4","172.217.160.164","UDP","81","57815  >  443 Len=39"
"64","2019-02-26 23:50:51.567533","192.168.1.4","172.217.160.164","UDP","221","57815  >  443 Len=179"
"65","2019-02-26 23:50:51.572682","172.217.160.164","192.168.1.4","UDP","377","443  >  57815 Len=335"
"66","2019-02-26 23:50:51.574966","172.217.160.164","192.168.1.4","UDP","62","443  >  57815 Len=20"
"67","2019-02-26 23:50:51.574969","172.217.160.164","192.168.1.4","UDP","85","443  >  57815 Len=43"
"68","2019-02-26 23:50:51.575361","192.168.1.4","172.217.160.164","UDP","237","57815  >  443 Len=195"
"69","2019-02-26 23:50:51.576260","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"70","2019-02-26 23:50:51.598944","192.168.1.4","172.217.160.195","GQUIC","1392","Client Hello, PKN: 1, CID: 1768596828418188873"
"71","2019-02-26 23:50:51.608318","172.217.160.164","192.168.1.4","UDP","63","443  >  57815 Len=21"
"72","2019-02-26 23:50:51.609570","192.168.1.4","172.217.166.67","GQUIC","1392","Client Hello, PKN: 1, CID: 18247426984074753431"
"73","2019-02-26 23:50:51.629985","172.217.160.164","192.168.1.4","UDP","63","443  >  57815 Len=21"
"74","2019-02-26 23:50:51.677932","192.168.1.4","172.217.160.164","UDP","87","57815  >  443 Len=45"
"75","2019-02-26 23:50:51.683714","192.168.1.4","172.217.160.164","UDP","232","57815  >  443 Len=190"
"76","2019-02-26 23:50:51.696816","172.217.160.195","192.168.1.4","GQUIC","72","Payload (Encrypted), PKN: 1, CID: 1768596828418188873"
"77","2019-02-26 23:50:51.705718","172.217.160.164","192.168.1.4","UDP","372","443  >  57815 Len=330"
"78","2019-02-26 23:50:51.707361","172.217.160.164","192.168.1.4","UDP","62","443  >  57815 Len=20"
"79","2019-02-26 23:50:51.707364","172.217.160.164","192.168.1.4","UDP","172","443  >  57815 Len=130"
"80","2019-02-26 23:50:51.707732","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"81","2019-02-26 23:50:51.714677","172.217.166.67","192.168.1.4","GQUIC","72","Payload (Encrypted), PKN: 1, CID: 18247426984074753431"
"82","2019-02-26 23:50:51.732546","172.217.160.195","192.168.1.4","GQUIC","1392","Payload (Encrypted), PKN: 2"
"83","2019-02-26 23:50:51.732549","172.217.160.195","192.168.1.4","GQUIC","73","Payload (Encrypted), PKN: 3"
"84","2019-02-26 23:50:51.733812","192.168.1.4","172.217.160.195","GQUIC","81","Payload (Encrypted), PKN: 2, CID: 1768596828418188873"
"85","2019-02-26 23:50:51.734376","192.168.1.4","172.217.160.195","GQUIC","70","Payload (Encrypted), PKN: 3, CID: 1768596828418188873"
"86","2019-02-26 23:50:51.734788","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"87","2019-02-26 23:50:51.746992","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"88","2019-02-26 23:50:51.747493","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"89","2019-02-26 23:50:51.748061","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"90","2019-02-26 23:50:51.748635","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"91","2019-02-26 23:50:51.749893","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"92","2019-02-26 23:50:51.750226","172.217.160.164","192.168.1.4","UDP","1164","443  >  57815 Len=1122"
"93","2019-02-26 23:50:51.751890","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"94","2019-02-26 23:50:51.752391","172.217.166.67","192.168.1.4","GQUIC","1392","Payload (Encrypted), PKN: 2"
"95","2019-02-26 23:50:51.752393","172.217.166.67","192.168.1.4","GQUIC","73","Payload (Encrypted), PKN: 3"
"96","2019-02-26 23:50:51.752813","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"97","2019-02-26 23:50:51.753182","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"98","2019-02-26 23:50:51.753974","192.168.1.4","172.217.166.67","GQUIC","81","Payload (Encrypted), PKN: 2, CID: 18247426984074753431"
"99","2019-02-26 23:50:51.754399","192.168.1.4","172.217.166.67","GQUIC","70","Payload (Encrypted), PKN: 3, CID: 18247426984074753431"
"100","2019-02-26 23:50:51.754416","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"101","2019-02-26 23:50:51.754868","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"102","2019-02-26 23:50:51.755183","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"103","2019-02-26 23:50:51.755243","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"104","2019-02-26 23:50:51.756635","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"105","2019-02-26 23:50:51.757778","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"106","2019-02-26 23:50:51.757809","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"107","2019-02-26 23:50:51.757813","172.217.160.164","192.168.1.4","UDP","273","443  >  57815 Len=231"
"108","2019-02-26 23:50:51.758191","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"109","2019-02-26 23:50:51.762350","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"110","2019-02-26 23:50:51.763216","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"111","2019-02-26 23:50:51.763645","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"112","2019-02-26 23:50:51.764142","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"113","2019-02-26 23:50:51.765197","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"114","2019-02-26 23:50:51.765639","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"115","2019-02-26 23:50:51.766362","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"116","2019-02-26 23:50:51.767571","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"117","2019-02-26 23:50:51.768290","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"118","2019-02-26 23:50:51.768302","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"119","2019-02-26 23:50:51.769094","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"120","2019-02-26 23:50:51.769456","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"121","2019-02-26 23:50:51.772615","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"122","2019-02-26 23:50:51.774752","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"123","2019-02-26 23:50:51.774756","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"124","2019-02-26 23:50:51.774761","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"125","2019-02-26 23:50:51.774763","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"126","2019-02-26 23:50:51.775177","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"127","2019-02-26 23:50:51.775219","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"128","2019-02-26 23:50:51.775703","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"129","2019-02-26 23:50:51.775918","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"130","2019-02-26 23:50:51.776097","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"131","2019-02-26 23:50:51.776877","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"132","2019-02-26 23:50:51.778069","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"133","2019-02-26 23:50:51.778199","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"134","2019-02-26 23:50:51.779813","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"135","2019-02-26 23:50:51.779816","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"136","2019-02-26 23:50:51.780208","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"137","2019-02-26 23:50:51.780976","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"138","2019-02-26 23:50:51.781499","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"139","2019-02-26 23:50:51.781950","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"140","2019-02-26 23:50:51.783225","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"141","2019-02-26 23:50:51.783586","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"142","2019-02-26 23:50:51.784171","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"143","2019-02-26 23:50:51.784528","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"144","2019-02-26 23:50:51.784867","192.168.1.4","172.217.160.164","UDP","83","57815  >  443 Len=41"
"145","2019-02-26 23:50:51.786166","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"146","2019-02-26 23:50:51.787177","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"147","2019-02-26 23:50:51.787541","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"148","2019-02-26 23:50:51.788167","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"149","2019-02-26 23:50:51.789165","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"150","2019-02-26 23:50:51.789520","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"151","2019-02-26 23:50:51.789994","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"152","2019-02-26 23:50:51.791286","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"153","2019-02-26 23:50:51.791636","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"154","2019-02-26 23:50:51.791916","172.217.160.164","192.168.1.4","UDP","1242","443  >  57815 Len=1200"
"155","2019-02-26 23:50:51.812553","172.217.160.195","192.168.1.4","GQUIC","62","Payload (Encrypted), PKN: 4"
"156","2019-02-26 23:50:51.815165","192.168.1.4","172.217.160.164","UDP","153","57815  >  443 Len=111"
"157","2019-02-26 23:50:51.821503","172.217.160.164","192.168.1.4","UDP","262","443  >  57815 Len=220"
"158","2019-02-26 23:50:51.827906","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"159","2019-02-26 23:50:51.828363","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"160","2019-02-26 23:50:51.828562","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"161","2019-02-26 23:50:51.829645","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"162","2019-02-26 23:50:51.830255","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"163","2019-02-26 23:50:51.832246","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"164","2019-02-26 23:50:51.832249","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"165","2019-02-26 23:50:51.832251","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"166","2019-02-26 23:50:51.832710","172.217.166.67","192.168.1.4","GQUIC","62","Payload (Encrypted), PKN: 4"
"167","2019-02-26 23:50:51.833726","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"168","2019-02-26 23:50:51.833872","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"169","2019-02-26 23:50:51.834324","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"170","2019-02-26 23:50:51.834344","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"171","2019-02-26 23:50:51.835874","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"172","2019-02-26 23:50:51.836879","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"173","2019-02-26 23:50:51.836881","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"174","2019-02-26 23:50:51.837772","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"175","2019-02-26 23:50:51.837775","172.217.160.164","192.168.1.4","UDP","324","443  >  57815 Len=282"
"176","2019-02-26 23:50:51.838648","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"177","2019-02-26 23:50:51.862668","172.217.160.164","192.168.1.4","UDP","63","443  >  57815 Len=21"
"178","2019-02-26 23:50:51.882743","192.168.1.4","172.217.160.164","UDP","233","57815  >  443 Len=191"
"179","2019-02-26 23:50:51.892131","172.217.160.164","192.168.1.4","UDP","63","443  >  57815 Len=21"
"180","2019-02-26 23:50:51.929018","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"181","2019-02-26 23:50:51.930123","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"182","2019-02-26 23:50:51.930498","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"183","2019-02-26 23:50:51.930932","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"184","2019-02-26 23:50:51.932599","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"185","2019-02-26 23:50:51.932608","172.217.160.164","192.168.1.4","UDP","840","443  >  57815 Len=798"
"186","2019-02-26 23:50:51.932611","172.217.160.164","192.168.1.4","UDP","61","443  >  57815 Len=19"
"187","2019-02-26 23:50:51.933231","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"188","2019-02-26 23:50:51.933705","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"189","2019-02-26 23:50:51.961546","172.217.160.164","192.168.1.4","UDP","63","443  >  57815 Len=21"
"190","2019-02-26 23:50:52.017468","172.217.160.164","192.168.1.4","UDP","395","443  >  57815 Len=353"
"191","2019-02-26 23:50:52.019104","172.217.160.164","192.168.1.4","UDP","62","443  >  57815 Len=20"
"192","2019-02-26 23:50:52.019106","172.217.160.164","192.168.1.4","UDP","276","443  >  57815 Len=234"
